검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
테라시스,테라시스,중소기업,경기 화성시,기타 주변기기 제조업,1억원(2024.12.31),51억 2천만원(2024.12.31),조장호,2016.03.28(10년차)
테라시스,테라시스,중소기업,경기 김포시,내부 통신배선 공사업,"1억 5,000만원(2024.12.31)",11억 6천만원(2024.12.31),임미영,2020.01.31(6년차)
테라시스,테라시스,중소기업,부산 금정구,기타 산업용 기계 및 장비 도매업,-,-,이용훈,-
테라시스,테라시스,중소기업,광주 서구,"미장, 타일 및 방수 공사업",2억원(2024.12.31),"3억 2,080만원(2024.12.31)",이수용,2003.04.01(23년차)
테라시스,테라시스,중소기업,서울 강동구,기계·기계설비,-,-,이동채,2021.12.20(5년차)
테라시스,테라시스,중소기업,서울 성동구,제약·보건·바이오,29억 8천만원,144억3천만,서은택,2015.07.06(11년차)
테라시스,테라시스,중소기업,대전 서구,"컴퓨터 및 주변장치, 소프트웨어 도매업","5,000만원(2023.12.31)",22억 2천만원(2023.12.31),박선미,2009.10.19(17년차)
테라시스,테라시스,중소기업,경기 용인시,유선 통신장비 제조업,-,-,안현준,-
금수강산고속관광,-,-,-,-,-,-,-,-
아워홈대성목재인천점,-,-,-,-,-,-,-,-
도솔산림산업,-,-,-,-,-,-,-,-
진심코리아,진심코리아,중소기업,서울 강남구,상품 종합 도매업,3억원(2024.12.31),38억 3천만원(2024.12.31),이주성,2015.10.01(11년차)
전북제일학사,전북지역 농·축협,대기업,전북 전주시,은행·금융,-,-,황의영,1961(65년차)
전북제일학사,전북은행,대기업,전북 전주시,국내은행,"5,004억 4천만원(2024.12.31)","1조 4,761억원(2024.12.31)",백종일,1969.12.10(57년차)
전북제일학사,전북연구원,비영리법인,전북 전주시,경제 및 경영학 연구개발업,10억원(2024.12.31),109억 5백만원(2024.12.31),이남호,2015.01.01(11년차)
전북제일학사,전북바이오융합산업진흥원,비영리법인,전라북도 전주시,그 외 기타 협회 및 단체,219억 2백만원(2017.12.31),96억 9천만원(2017.12.31),이은미,2000.11.03(26년차)
전북제일학사,전북신용보증재단,비영리법인,전북 전주시,국내은행,"3,063억 1천만원(2022.12.31)",175억 4천만원(2022.12.31),한종관,2002.12.24(24년차)
전북제일학사,전라북도교육청,공공기관,전북 전주시,교육 행정,-,-,-,-
전북제일학사,(재)전북국제협력진흥원,비영리법인,전북 전주시,그 외 기타 협회 및 단체,"3억 7,910만원(2022.12.31)",19억 7천만원(2022.12.31),김대식,2015.09.01(11년차)
전북제일학사,전북에너지서비스(주),대기업,전북 익산시,연료용 가스 제조 및 배관공급업,179억 6천만원(2024.12.31),"1,746억 5천만원(2024.12.31)",서경석,1990.02.17(36년차)
전북제일학사,전북현대모터스에프씨㈜,대기업,전북 전주시,스포츠 클럽 운영업,10억원(2024.12.31),501억 4천만원(2024.12.31),정유석,2009.01.02(17년차)
전북제일학사,전라북도경제통상진흥원,비영리법인,전북 전주시,경영 컨설팅업,145억 9천만원(2021.12.31),450억 1백만원(2021.12.31),윤여봉,1997.01.01(29년차)
임성페이퍼,-,-,-,-,-,-,-,-
신원건설,신원건설,중소기업,경기 안성시,토공사업,"6억 1,000만원(2017.12.31)","2,267만원(2017.12.31)",김성진,2001.07.01(25년차)
신원건설,신원건설,중소기업,경기 하남시,건설·시공·토목·조경,-,-,한상식,-
신원건설,신원건설,중소기업,경기 군포시,건설·시공·토목·조경,-,-,표태준,19991101(27년차)
신원건설,㈜신원종합건설,중소기업,경기 수원시,건물 건설업,5억원(2021.12.31),63억 4천만원(2021.12.31),김명구,2019.02.20(7년차)
